product Id, product Name, Price Per Metre, Sample Price, Delivery Price
163,Kashgar 2/LG,496.00,6.00,30.00
164,Lahore,527.00,6.00,30.00
165,Luxor,477.00,6.00,30.00
166,Maharab,455.00,6.00,30.00
167,Malabar,479.00,6.00,30.00
168,Malabar Reverse,479.00,6.00,30.00
169,Malula,398.00,6.00,30.00
170,Mandalay,525.00,6.00,30.00
171,Mughal Flower,525.00,6.00,30.00
172,Pandora,526.00,6.00,30.00
173,Paradeiza,423.00,6.00,30.00
174,Pasha,555.00,6.00,30.00
175,Rajkot,435.00,6.00,30.00
176,Rambagh,370.00,6.00,30.00
177,Rambagh Reverse,370.00,6.00,30.00
178,Samode,477.00,6.00,30.00
179,Tika,370.00,6.00,30.00
180,Yasmina,510.00,6.00,30.00
181,Zoraya,477.00,6.00,30.00
182,Amelie,272.00,6.00,30.00
183,Antoinette,251.00,6.00,30.00
184,Bhavani,278.00,6.00,30.00
185,Bukhara,220.00,6.00,30.00
186,Carinthia,231.00,6.00,30.00
187,Caterina,267.00,6.00,30.00
188,Chalvington,260.00,6.00,30.00
189,Charleston,278.00,6.00,30.00
190,Coromandel,274.00,6.00,30.00
191,Colonsay,267.00,6.00,30.00
192,Donatello,265.00,6.00,30.00
193,Eckington,269.00,6.00,30.00
194,Georgina,278.00,6.00,30.00
195,Glynde,254.00,6.00,30.00
196,Hunting Lodge,260.00,6.00,30.00
197,Kalamitsi Stripe,222.00,6.00,30.00
198,Kaveri,285.00,6.00,30.00
199,Khiva,220.00,6.00,30.00
200,Le Pecheur,216.00,6.00,30.00
201,Les Lionets,260.00,6.00,30.00
202,Lodge,260.00,6.00,30.00
203,Little Stripe,225.00,6.00,30.00
204,Margallen,220.00,6.00,30.00
205,Marmara,265.00,6.00,30.00
206,Marianne,244.00,6.00,30.00
207,Melograno,285.00,6.00,30.00
208,Old Macdonald,242.00,6.00,30.00
209,Samarkand,220.00,6.00,30.00
210,Shikara,265.00,6.00,30.00
211,Strapwork,269.00,6.00,30.00
212,Toile Chardin,285.00,6.00,30.00
213,Toile de Rosa,242.00,6.00,30.00
214,Toile Des Lapins,276.00,6.00,30.00
215,Tree of Life,269.00,6.00,30.00
216,Rombau,196.00,6.00,30.00
217,Rossie Priory - Cotton,280.00,6.00,30.00
218,Rossie Priory - Linen,416.00,6.00,30.00
219,Xian,280.00,6.00,30.00
220,Grouse,240.00,6.00,30.00
221,Lurchers,240.00,6.00,30.00
222,Kinesi,249.00,6.00,30.00
223,Eucalyptus,249.00,6.00,30.00
224,Pera,249.00,6.00,30.00
225,Foli,249.00,6.00,30.00
226,Buttons,259.00,6.00,30.00
227,Linoteca,345.00,6.00,30.00
228,Lotus Linen,345.00,6.00,30.00
229,Ticino,381.00,6.00,30.00
230,Abbeville,162.00,6.00,30.00
231,Chancy,162.00,6.00,30.00
232,Grandvilliers,212.00,6.00,30.00
233,Lavandou,212.00,6.00,30.00
234,Southe Creake,221.00,6.00,30.00
235,Morston,219.00,6.00,30.00
236,Emilie,488.00,6.00,30.00
237,Laure,496.00,6.00,30.00
238,Marie Louise,399.00,6.00,30.00
239,Manon,317.00,6.00,30.00
240,Vaison,356.00,6.00,30.00
241,Levant,386.00,6.00,30.00
242,Grand Crocus,386.00,6.00,30.00
